Issue Type,Issue key,Assignee,Status,Priority,Updated
Task,TTOP-255,gil9red,Open,Ordinary,18-08-2017 18:01
New Feature,STTXS-225,gil9red,Closed,Ordinary,11-08-2017 16:49
Task,TTOP-195,gil9red,Closed,Ordinary,01-08-2017 16:34
Bug,TTOP-244,gil9red,Closed,Moderate/Major,31-07-2017 12:07
New Feature,TTOP-204,gil9red,Open,Ordinary,26-07-2017 14:40
Task,TTOP-225,gil9red,Resolved,Ordinary,17-07-2017 14:49
Task,TTOP-196,gil9red,Open,Ordinary,10-07-2017 15:05
Question,TTOP-230,gil9red,Closed,Ordinary,10-07-2017 14:08
Bug,TTOP-231,gil9red,Closed,Ordinary,10-07-2017 10:26
Bug,TTOP-232,gil9red,Open,Ordinary,07-07-2017 19:33
Task,TTOP-229,gil9red,Closed,Ordinary,07-07-2017 16:18
Task,TTOP-224,gil9red,Closed,Ordinary,06-07-2017 16:01
New Feature,TTOP-123,gil9red,Closed,Ordinary,05-07-2017 17:11
Bug,TTOP-163,gil9red,Resolved,Ordinary,05-07-2017 13:06
Task,TTOP-223,gil9red,Closed,Ordinary,05-07-2017 12:31
New Feature,TTOP-56,gil9red,Closed,Info Request/Minor,04-07-2017 17:46
New Feature,TTOP-221,gil9red,Closed,Ordinary,04-07-2017 13:06
Question,STTXS-226,gil9red,Closed,Ordinary,04-07-2017 12:28
Bug,TTOP-129,gil9red,Closed,Ordinary,30-06-2017 16:09
Bug,TTOP-202,gil9red,Closed,Ordinary,30-06-2017 16:03
Bug,TTOP-219,gil9red,Closed,Ordinary,29-06-2017 17:18
Bug,TTOP-198,gil9red,Resolved,Ordinary,29-06-2017 17:18
New Feature,TTOP-121,gil9red,Open,Ordinary,26-06-2017 13:13
Bug,TTOP-142,gil9red,Open,Ordinary,26-06-2017 13:13
Bug,TTOP-148,gil9red,Open,Ordinary,26-06-2017 13:12
Task,TTOP-165,gil9red,In Progress,Ordinary,26-06-2017 13:12
Bug,TTOP-178,gil9red,Open,Ordinary,26-06-2017 13:12
Bug,TTOP-182,gil9red,Open,Moderate/Major,26-06-2017 13:12
Bug,TTOP-183,gil9red,Open,Ordinary,26-06-2017 13:12
Bug,TTOP-184,gil9red,Open,Ordinary,26-06-2017 13:12
Bug,TTOP-185,gil9red,Open,Ordinary,26-06-2017 13:12
Bug,TTOP-187,gil9red,Open,Ordinary,26-06-2017 13:11
Bug,TTOP-117,gil9red,Closed,Ordinary,22-06-2017 14:05
Bug,TTOP-216,gil9red,Closed,Ordinary,21-06-2017 18:57
New Feature,TTOP-215,gil9red,Closed,Ordinary,21-06-2017 12:05
Task,RBTWS-18569,gil9red,Closed,Ordinary,20-06-2017 14:20
Bug,TTOP-214,gil9red,Open,Ordinary,19-06-2017 18:53
New Feature,TTOP-205,gil9red,Open,Ordinary,07-06-2017 12:28
Task,RBTWS-17758,gil9red,Open,Ordinary,06-06-2017 14:40
Task,RBTWS-7571,gil9red,Resolved,Ordinary,01-06-2017 10:40
